F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,Target
4905.84,1000.96,-277.73,0.09,-13925.9,USA,2103.28,2156.42,-47.28,Low,17.55,-15483.06,-64.35,1884.38,-38.25,-7556.91,3,5.64,11673.15,-100.52,12,623.34,24.66,617.38,1674.34,418.92,36.86,-416.48,629.55,2.48,123.32,263.18,-252.96,86.31,-262.89,58.26,3582.64
3993.9,293.81,-271.41,44.25,-25356.36,UK,1819.78,2279.76,-46.08,High,19.46,-16367.78,-81.21,1727.36,-57.72,-8898.45,12,4.68,-7337.67,-164.91,9,-616.2,22.79,3400.2,2027.2,272.12,8.22,-380.84,901.47,5.07,26.76,221.3,-56.58,108.39,-242.7,67.29,2290.18
3751.2,391.37,-255.31,7.59,-10987.62,UK,1988.93,2435.72,-47.24,Very high,22.37,-23375.52,-62.19,2144.88,-88.11,-6140.63,18,7.7,7491.54,-159.6,0,608.64,16.17,9971.75,845.78,334.26,10.66,35.4,660.3,6.47,1435.44,299.2,-111.42,74.65,-285.96,48.42,214.03
3446.1,533.9,-257.09,447.18,-19232.58,UK,1824.77,2368.16,-38.8,Medium,19.62,-7960.58,-84.99,2102.62,-24.08,-9162.31,12,8.68,19560.42,-58.13,12,1218.72,14.3,4194.36,885.64,384.04,24.64,-265.52,530.28,9.23,-169.5,198.6,-129.18,85.42,-195.99,61.8,2422.52
4296.21,1341.28,-287.99,7.17,-8291.94,Rest,2375.42,1956.58,-38.98,Low,19.55,-22435.9,-57.09,1238.14,-12.98,-3661.73,9,3.94,12667.98,-157.28,21,-1394.46,21.77,-287.63,2448.06,369.06,-11,-491.3,695.22,6.94,936.76,171.06,-214.35,131.48,-120.75,104.37,443.91
6018.06,867.27,-220.98,2.4,-21916.18,UK,2823.75,1192.56,-39,Low,27.69,-15524.26,-62.19,2512.58,-16.06,-14920.38,15,8.88,-14761.89,-87.03,24,1251.84,15.75,3109.08,1269.22,373.06,8.9,-249.28,629.82,3.31,267.26,210.78,-84.51,112.07,-221.37,33.72,-1007.1
4545.9,563.2,-224.06,0.06,-15178.12,Europe,1273.52,1715.08,-44.82,Low,20.01,-20053.48,-55.74,324.88,-53.4,-10173.91,15,6.94,8142.36,-166.93,6,-920.76,18.9,12256.55,1332.68,460.48,40.66,-332.82,579,2.58,426.24,200.12,-212.34,83.92,-99.75,28.65,-1136.93
3403.68,698.98,-159,14.88,-15748.24,USA,2520.33,1917.76,-33.62,Very low,25.85,-30454.2,-61.98,1564.02,-57.03,-10958.66,6,0.26,-7230.96,-130.34,27,-164.73,14.43,7411.34,1912.5,328.42,23.36,-395.2,570.06,5.04,244.88,311.58,-8.7,86.53,28.89,101.67,-117.29
3116.91,607.04,-212.36,0.45,-13092.3,USA,1912.93,1776.42,-40.16,Very high,20.21,-28178.92,-38.79,2506.48,-57.25,-3326.15,15,10.68,-1798.95,-167.9,9,-707.76,18.42,945.64,1394.82,388.58,16.32,-279.94,651.27,1.47,183.66,214.36,-71.25,117.43,-274.89,48.09,3114.35
2990.55,682.53,-248.14,3.81,-20453.06,USA,1963.46,2105.98,-49.32,Very high,22.22,-24697,-26.88,1719.58,-77.24,-7687.81,6,1.62,-6447.87,-107.62,9,-1261.95,19.24,8156.07,1267.38,393.24,4.2,-306.06,565.86,2.74,-293.5,213.02,-240.03,92.49,-26.52,51.24,3550.21
2290.86,928.95,-251.99,6.27,-28046.4,Rest,1765.94,3280.76,-53.14,Medium,24.05,-29545.2,-56.97,1605.5,-124.54,-9313.8,21,8.7,8373.54,-129.06,9,-2212.65,15.98,8381.37,904,394.7,-6.14,-545.4,412.89,3.02,268.82,264.4,-192.09,62.47,-126.63,31.29,-87.95
4686.51,999.65,-223.21,6.09,-14534.22,Europe,1690.65,1788.28,-29.92,Medium,19.67,-7815.12,-66.3,511.2,-21.06,-5103.87,6,0.9,5173.92,-151.5,18,707.73,17.57,2017.98,1251.86,377.3,6.9,-223.32,318.6,1.4,119.22,177.94,-143.82,73.46,-200.49,45.84,2697.84
4120.98,958.83,-241.5,0.21,-21882.4,Rest,1923.73,1509.78,-51.5,Low,17.56,-21678.2,-65.85,1944.34,-12.14,-10194.1,21,5.08,4133.34,-128.55,15,18.39,5.28,7414.75,777.42,400.98,8.7,-402.06,540.72,1.3,585.14,330.94,-128.4,95.61,-272.52,60.78,-18.04
4307.97,894.69,-241.36,2.49,-8943.12,Europe,1932.71,1749.52,-46.72,Very low,20.41,-10838.24,-22.68,1550.42,-14.81,-8855.64,12,10.94,2760.78,-130.78,15,22.65,19.19,6482.04,1400,299.44,-1.92,-247.78,557.1,2.78,448.34,213.76,-259.11,98.46,-305.55,52.89,-392.07
5213.43,1239.21,-221.12,3.42,-14025.04,Europe,1972.31,3143.26,-48.56,Medium,21.76,-23162.24,-58.29,2013.36,-117.54,-4157.98,15,18.42,12842.73,-148.78,12,-996.09,15.17,6275.99,1927.58,403.12,0.34,-449.12,499.29,6.91,-286.14,165.64,-23.28,84.87,-238.02,50.7,857.98
4227.18,846.07,-210.15,117.36,-9945.2,UK,1960.98,1680.58,-48.32,Low,23.49,-25304.64,-45.15,1407.9,-78.16,-4527.01,15,2.52,8815.83,-78.64,15,685.86,18.38,958.69,666.52,349.42,3.32,-359.98,596.58,-0.55,-254.38,189.34,-13.05,74.71,-157.26,60.72,1233.02
4677.75,548.85,-260.18,3.09,-21594.02,UK,1023.49,1716.76,-60.02,Medium,18.58,-24082.4,-63.36,1444.22,-5.77,-7637.18,12,8.98,26822.58,-119.05,18,648.03,20.45,13277.86,2206.8,354.64,-8.94,-412.28,669.09,3.13,81.3,258.28,-59.07,127.38,-142.02,25.71,694.79
3822.48,805.23,-245.39,0.24,-12346.2,Rest,1361.06,2120.28,-54.8,High,19.54,-16828.18,-55.8,1246.88,-15.64,-9844.74,12,2.24,9302.4,-118.87,9,961.86,18.7,3681.21,1945.68,400.6,0.18,-482.54,610.86,0.44,-146.7,197.5,-39.54,91.71,-265.65,59.28,933.26
4522.08,797.41,-242.52,19.59,-22059.42,Rest,2593.25,1470.76,-61.16,Low,18.78,-11329.58,-58.56,758.26,-128.75,-2480.9,9,4.38,420.3,-123.66,18,-1818,18.12,7999.81,2232.58,380,8.88,-362.64,589.95,-2.27,357.82,193.14,-58.32,82.55,-254.52,36.33,500.54
3480.42,1227.69,-246.79,10.86,-2282.2,USA,1861,2803.8,-56.14,Low,23.31,-28200.56,-27.03,923.18,-47.84,-6969.11,15,9.76,-2843.76,-152.06,12,443.37,17.43,9530.26,699.98,293.06,18.48,-365.42,476.67,1.83,994.6,182.94,-173.76,107.55,-434.4,35.16,-130.06
4848.42,646.96,-232.27,0.18,-20666.92,UK,1805.06,1692.68,-48.46,Very low,20.82,-20433.86,-58.11,1023.36,-53.23,-9895.09,15,1.56,9662.28,-137.73,9,-799.2,17.13,6748.45,562.4,379.28,6.14,-319.52,624.45,2.11,938.88,235.28,-46.62,55.35,-161.58,42.78,-672.78
3911.28,659.53,-364.66,81.45,-1842.68,USA,2246.07,2149.88,-49.86,High,17.67,-20067.1,-61.98,1686.12,-26.65,-128.28,12,1.54,2888.73,-190.3,27,-1582.35,22.4,6367.8,367.72,325.54,13.38,-189.66,578.52,4.4,-751.96,202,-187.62,93.86,-313.53,43.35,3760.44
4836.21,614.53,-206.5,64.8,-23113.16,Europe,1673.09,1831.38,-45.74,Low,22.03,-14461.3,-68.79,1817.92,22.72,-8738.67,12,6.94,-4237.38,-177.39,15,-946.71,20.46,5551.37,1975.4,343.46,7.3,-405.5,305.73,3.88,954.26,284.6,-277.65,59.72,-194.1,38.13,-87.97
3826.98,1115.87,-247.44,9.21,-20322.12,Rest,1866.01,1348.12,-46.94,Very low,19.73,-25312,-53.49,1071.2,-84.84,-3697.41,12,3.18,18666.42,-48.7,9,1589.4,17.8,1389.05,1264.14,439.04,29.2,-400.14,596.76,3.18,677.34,221.78,-186.87,60.76,-206.31,66.9,562.32
1341.42,992.05,-241.26,0.84,-2628.7,USA,1762.74,979.56,-47.82,Very low,18.93,-18245.36,-50.37,591.2,-58.13,-5479.51,3,4.84,8886.21,-167.98,15,1072.14,23.27,2456.7,1941.4,456.32,22.9,-352.28,555.12,0.44,450.26,269.94,-116.73,95.4,-109.92,41.25,2679.3
5593.56,1366.7,-239.19,12.72,-16095.18,Europe,1974.68,725.94,-45.74,Very low,18.9,-24291.9,-51.87,2090.62,-19.38,-6540.04,6,6.58,11606.67,-149.56,15,731.58,18,-1495.66,2302.68,412.82,0.9,-384.82,1074.21,0.82,-443.3,289.56,-168.21,73.07,-159.27,54.06,2898.19
4310.79,540.55,-245.69,0.93,-11338.32,Europe,2105.92,1824.3,-51.8,Low,23.45,-16130.86,-85.89,1444.16,-31.69,-9104.81,12,1,16674.51,-135.72,9,214.05,18.59,6925.22,2314.56,400.92,11.8,-405.2,534.96,1.59,494.82,274.04,-179.73,100.26,-252.24,26.31,-765.74
4266.75,680.11,-208.94,0.51,-15991.92,USA,2111.52,3497,-56.4,Medium,21.51,-17776.96,-50.46,1390.06,-53.02,-2210.87,15,14,23441.55,-112.49,12,-704.79,17.83,5777.82,2532.34,509.22,8.6,-372.56,593.52,3.28,-271.64,264.86,-164.73,72.05,-283.71,46.92,649.48
4483.92,815.37,-268.4,0.27,-20318.84,UK,685.93,1186.52,-45.68,Low,18.44,-20155.6,-59.34,2915.18,-31.65,-1578.1,18,9.26,2321.61,-120.42,12,-684.27,19.39,7212.84,2411.24,323.5,-0.04,-449.72,618.24,0.6,1358.88,311.76,37.26,79.38,-243.75,65.4,-595.57
2656.56,811.29,-240.12,0.87,-15309.94,USA,2238.99,2712.3,-45.94,Medium,17.61,-18011.46,-60.33,628.78,-117.01,-9338.24,12,1.5,1771.02,-129.03,21,671.61,11.25,12831.94,1648.04,405.3,2.76,-372.6,492.78,2.59,1643.74,208.08,-42.66,68.87,-252.66,57.57,-103.55
4585.98,775.26,-294.72,0.24,-21986.66,Europe,365.96,1011.08,-53.32,Medium,25.99,-12873.88,-62.37,1957.36,-80.59,-5948.1,9,2.78,16549.65,-150.93,6,409.14,18.42,8797.64,1805.24,331.78,14.76,-397.04,579.33,1.44,1677.74,352.64,8.28,92.27,-118.05,55.89,-1447.06
7237.41,1032.51,-231.51,50.28,-10870.18,USA,2184.61,2109.02,-46.44,Very high,22.3,-25114.1,-44.07,1799.98,-96.05,-9069.66,12,5.62,9871.59,-233.73,6,1572.33,22.96,4919.58,1911,576.22,0.66,-359.98,593.25,6.72,272.04,314.68,-259.32,95.55,-236.49,42.75,3632.57
4559.82,1074.77,-285.45,16.2,-13925.04,USA,2096.41,2142.32,-49.28,Medium,23.02,-10493.56,-47.31,1629.36,-50.41,-8398.38,18,7.8,15551.58,-114.2,18,561.33,18.75,-139.12,2764.74,309.58,6.44,-336.48,624.42,0.66,320.94,242.98,-163.74,63.2,-159.42,66.12,744.43
391.11,430.24,-229.38,0.12,-16343.2,UK,2670.87,2370.1,-49.4,Very low,18.8,-22198.86,-57.78,2295.28,1.57,-5769.15,9,22.38,-847.74,-104.12,6,-1121.91,9.05,7079.2,1733.9,425.24,2.98,-463.66,823.26,4.47,209.92,268.58,-48.3,123.98,-259.68,53.7,444.36
4598.58,962.2,-225.77,0.12,-18291.5,UK,1731.45,2075.04,-47.72,High,19.32,-37096.86,-68.01,1584.44,-104.74,-4425.64,12,2.04,17019.63,-97.61,3,120.81,14.23,6385.9,461.28,391.78,3.08,-296.42,568.44,1.13,435.18,282.72,-143.07,61.39,32.94,43.98,1174.69
6137.13,909.89,-234.9,9.9,-12422.02,UK,1261.42,1391.04,-45.34,Medium,20.07,-20014.68,-60.24,1609.98,-64.59,-7496.19,9,4.7,12705.45,-154.5,12,377.4,20.66,9556.77,1580.32,386.46,10.4,-439.3,424.68,3.1,625.5,278.38,14.58,121.58,-454.98,39.33,963.78
3955.11,791.69,-257.5,39.9,-19631.46,USA,1945.62,1402.4,-49.5,Very low,18.67,-19170.38,-54.42,1466.44,-73.55,-11285.87,6,16.64,-274.17,-144.32,9,-1846.77,15.9,9528.24,1721.9,166.78,8.1,-211.68,762.33,3.17,1709.68,212.66,-1.77,156.76,-349.17,57.63,243.16
3009.15,644.34,-220.01,19.71,-14200.86,USA,1313.67,2069.9,-63.14,Low,19.33,-3771.5,-44.58,837.04,-17.88,-7787.41,6,5.36,-3996.36,-125.33,15,-366.93,19.4,4998.91,1779.04,374.98,0.4,-538.62,541.32,-1.19,1408.78,284.94,-35.97,107.24,-189.84,54.69,1322.09
6266.43,807.07,-225.25,10.77,-22524.54,Europe,1184.4,2553.88,-37.84,High,21.72,-20061,-40.41,1323.2,-49.64,-7909.83,6,2.58,-5246.91,-210.02,0,-209.94,16.9,6561.2,983,360.32,1.18,-258.96,387.75,0.6,1015.2,325.72,-205.14,73.2,-387.03,55.59,2290.99
4390.17,854.81,-334.3,63.66,-18712.7,Europe,2090.27,1359.1,-49.6,Medium,28.73,-15963.5,-60.63,2054.74,-59.44,-8596.35,15,4.34,1646.01,-228.4,12,189,17.15,4283.59,1628.88,625.72,-10.58,-622.56,409.95,2.49,1109.02,248.02,-34.2,75.19,-189.27,52.23,-1295.47
4049.28,813.49,-195.57,4.68,-15511.18,UK,2044.01,2330.94,-39.14,Very low,19.3,-24981.92,-56.34,607.1,-56.38,-5237.28,18,13.6,6129.51,-145.69,12,-358.41,19.58,11196.36,1275.2,397.06,17.74,-376.04,451.17,3.46,569.18,216.98,-147.21,42.12,-194.31,41.97,-360.79
4169.82,719.48,-27.69,0.12,-17145.88,Europe,1843.47,1563.8,-45.82,Very high,17.96,-23558.8,-51.39,1513.08,-113.5,-5005.08,12,5.86,7154.79,-110.62,15,1712.61,28.02,6323.7,2108.26,261.34,13.36,-379.22,702.27,0.77,442.18,286.9,-163.92,119.99,-275.64,54,2064.84
4862.4,1389.28,-247.39,0.75,-6063.44,Europe,1905.99,1834.2,-50.1,High,19.22,-14237.24,-53.13,1964.64,-18.91,-2908.21,15,15.94,753.51,-141.4,9,-202.71,23.8,8864.05,1414.36,415.06,6.62,-397.42,514.05,3.89,857.66,250.82,-65.1,61.09,-174.36,52.08,185.34
8891.34,1292.1,-264,115.02,-16544.14,Europe,2056.24,1854.72,-37.64,High,20.35,-20696.28,-66.06,1799.26,-59.8,-8918.6,6,8.28,7207.17,-112.28,6,-612.81,23.83,6748.76,1775.84,267.16,14.92,-446.68,689.22,2.34,613.4,261.42,-131.19,117.37,-235.2,48.21,2787.46
1742.67,382.69,-307.07,3.39,-20808.58,Europe,1614.05,2086.3,-52.74,Very high,17.52,-27940.44,-49.41,1683.92,-46.08,-6868.62,21,4.84,-9951.81,-48.48,9,231.84,11.91,7289.42,1372.3,363.14,10.26,-362.98,538.77,1.82,-180.54,226.9,-90.57,95.63,-49.89,52.41,2556.01
2643.57,1090.3,-239.73,0.03,-11530.78,UK,1964.75,1519.7,-49.4,Very low,17.13,-25358.26,-68.73,1741.82,-164.01,1530.7,18,2.56,5549.37,-141.45,15,-385.17,13.28,9149.01,2161.64,293.08,4.8,-379.56,769.38,1.71,743.44,173.76,-117.6,-2.8,-337.32,54.3,-725.46
4957.89,1025.63,-225.45,84.36,-25172.52,Rest,1945.15,881.02,-44.72,High,17.46,-24767.88,-69.39,1115.98,-34.83,-9046.83,15,17.96,828.21,-219.49,6,-760.71,15.11,245.76,757.04,378.64,9.5,-223.02,377.73,0.53,543.28,149.88,-84.36,93.05,-290.64,58.59,1573.08
6703.35,1078.3,-279.14,0.15,-22822.02,Rest,2890.5,2577.94,-50.14,High,26,-19789.22,-42.27,1789.88,-22.56,-11606.03,15,8.52,-9904.92,-139.72,15,1494.54,17.38,-2780.66,1354.28,429.02,5.28,-410.72,480.18,1.55,690.46,321.9,-62.94,61.82,-231.12,53.76,19.61
4724.04,613.67,-228.5,0.36,-15732.28,Rest,781.2,3296.78,-55.8,Very low,19.16,-24978.62,-43.32,860.58,-52.52,-9126.48,9,7.86,-5659.59,-164.21,9,-450.63,19.04,8232.76,1594.3,437.94,13.62,-309.52,491.52,4.38,551.08,216.62,-123.36,116.28,-207.63,58.14,146.36
4368,1002.81,-232.84,2.1,-10296.2,USA,1813.4,1450.82,-54.34,Medium,24.16,-39962.84,-63.69,495.3,-61.16,-5428.22,9,6.16,11912.43,-138.06,15,-724.71,19.51,4692.2,886.7,408.84,13.64,-308.16,588.75,4.8,1097.86,190.52,-135.42,82.19,-274.23,58.23,-51.14
4655.85,535.28,-223.22,0.33,-21613.56,USA,2927.43,983.76,-49.1,Medium,19.41,-17988.7,-52.83,2680.28,-49.24,-9669.3,3,9.04,13231.35,-201.83,24,61.23,16.35,8131.04,1876.22,454.72,19.14,-196.42,706.98,4.82,-722.54,177.66,-140.64,20.66,-183.72,64.65,3091.09
4374.48,896.61,-242.12,39.96,-13363.1,Rest,1584.27,2024.52,-46.86,Very high,21.85,-20896.4,-58.35,837.4,-141.75,-4175.17,9,6,14450.61,-127.66,9,2497.2,20.41,3912.85,1474.3,435.02,8.94,-614.46,525,4.35,381.56,307.44,-136.74,52.34,-94.2,57.69,1361.76
5566.68,417.26,-260.85,0.66,-23543.86,USA,2447.91,1757.12,-48.26,Very low,19.69,-19142,-65.4,1178.06,5.8,-2038.62,21,7.76,1670.31,-221.01,21,330.45,8.89,10453.9,1173.62,385.72,6.48,-492.56,465.15,4.41,1433.32,212.46,-238.8,95.95,-134.55,51.33,-161.08
5161.2,1211.82,-225.6,0.06,-16553.38,Rest,3030.55,1907.42,-46.22,Very high,19.61,-23411.16,-80.91,2245.7,-50.92,-6296,9,5.22,6024.18,-71.52,6,245.25,18.12,6116.26,1504.32,453.72,2.7,-434.98,506.97,-0.21,1224.44,294.62,-75.99,70.05,-190.02,47.37,424.14
3925.26,567.59,-247.03,13.14,-19382.02,Europe,1356.46,3368.04,-53.38,High,23.27,-17928.28,-53.73,1958.22,-25.4,-9202.67,15,15.32,183.78,-110.28,21,-1402.74,16.2,8617.53,1086.92,364.8,-3.24,-346.06,666.3,-0.7,-281.34,279.4,-106.95,117.86,-230.34,53.49,118.43
3041.58,957.27,-225.29,2.73,-17883.3,USA,2562.17,1905.98,-37.64,Very low,18.39,-16992.72,-58.83,1358.46,-43.48,-4335.67,3,5.36,2497.92,-154.93,9,-100.11,5.46,5166.39,1493.94,366.04,14.54,-388.54,835.23,5.29,1687.92,167.44,-121.26,58.74,-229.56,39.54,929
3823.92,451.03,-250.21,1.05,-19255.5,USA,1979.8,2409.28,-54.4,Low,22.32,-22176.06,-43.74,2033.72,-51.52,-8355.92,6,7.4,1208.88,-161.5,6,88.44,20.19,7866.79,565.46,352.04,3.96,-349.18,621,1.33,252.2,198.18,-79.77,37.32,-182.73,22.8,940.45
4079.13,1046.63,-237.61,1.77,-29224.54,Rest,1768.47,2069.82,-46.54,Very low,20.49,-26092.1,-79.17,943.94,-34.95,-4531.85,12,6.18,2991.09,-123.09,3,-467.91,21.5,9152.91,1097.22,477.24,17.72,-348.02,485.07,-0.53,978.94,205.98,-58.41,61.55,-250.95,61.95,23.18
3754.38,807.69,-227.82,0.24,-16118.54,Europe,1765.15,1206.2,-57.1,Very low,21.43,-29247.68,-45.78,1765.52,-69.46,-10454.04,12,14.6,13086.48,-222.78,15,267,16.28,3498.55,944.52,381.56,8.86,-314.28,624.66,11.37,1162.58,203.56,-196.95,137.67,-132,59.67,-1269.41
4155.63,713.94,-257.03,0.33,-22024.34,Rest,2106.03,2352.76,-50.02,High,17.32,-10509.5,-64.38,1152.68,-34.1,-7875.21,6,1.74,151.47,-42.88,9,-1006.08,21.46,5750.62,1029.1,388.94,4.3,-261.64,618.27,1.14,270.58,225.02,-122.91,69.56,-298.23,52.08,1181.12
3966.57,814.18,-241.23,3.72,-17540.1,Europe,1636.51,1434.84,-44.12,Medium,18.17,-18799.1,-47.4,1987.6,-58.99,-11290.1,12,6.28,924.27,-120.83,12,468.48,13.44,8740.04,2238.54,374.08,15.38,-367.74,593.97,4.37,729.74,277.8,-151.32,58.14,-268.29,47.88,1324.19
2836.89,1025.72,-259.56,8.7,-14180.56,UK,1602.09,1663.72,-50.04,Very high,19.7,-23984.88,-99.15,2905.2,-119.26,-7209.52,33,6.58,11058.51,-185.97,15,-229.65,14.63,2086.85,673.94,321.44,12.24,-357.6,736.14,3.4,925.56,261.86,-2.16,101.18,-234.9,51.27,81.35
4833.6,602.18,-243.55,58.23,-26426.6,Rest,1857.66,957.62,-49.58,High,24.71,-19237.48,-58.89,1906.14,-47.87,-6429.93,9,2.44,5947.83,-95.37,12,1634.7,14,2210.46,962.44,417.22,8.68,-336.26,598.35,3.67,607.26,187.24,-147.54,108.39,-168.42,45.09,699.69
3759.9,839.07,-270.79,10.5,-22700.78,Europe,1963.37,1319.62,-43.06,Medium,20.93,-21109.88,-63.99,1832.76,-33.01,-3895.66,3,19.84,24123.99,-140.12,9,-984.87,23.13,-578.25,992,367.32,13.04,-568.16,673.92,-3.15,277.18,210.24,-205.98,116.21,-232.11,39.33,2817.45
3465.03,549.82,-280.1,0.36,-18157.08,UK,2324.2,1818.04,-47.26,Low,17.23,-26194.48,-57.06,1085.04,-56.63,-12757.06,6,2.62,7199.49,-153.87,9,-1226.22,17.38,5421.84,927.7,310.6,-19.76,-148.74,478.56,1.21,1907.36,238.98,-219.69,105.86,-281.49,58.14,418.87
3404.97,1266.03,-216.37,24.78,-22723.18,UK,2020.03,2277.86,-46.06,Very low,22.68,-23997.62,-66.84,2664.16,-3.11,-2904.75,15,4.22,-1400.49,-164.78,12,1202.79,18.49,6894.08,2311.88,397.68,9.82,-366.5,558.51,6.05,1255.34,238.2,-183,107.22,-272.58,53.76,-468.55
4436.58,465.99,-229.91,29.49,-9477.8,Rest,1573.35,747.26,-47.16,Low,20.59,-25272.2,-54.63,2123.2,-51.11,-7690.8,15,10.98,13628.31,-123.75,6,-230.88,22.78,3262.06,2031.34,388.1,6.88,-559.92,804.33,7.05,1085.38,148.22,-221.64,17.43,-306.9,84.36,327.23
5579.34,598.53,-332.37,0.09,-21303.02,UK,1649.74,2326.26,-46.4,Very high,19.3,-14658.72,-78.06,1281,-50.36,-4737.46,18,6.66,-9545.64,-164.91,15,-556.62,19.9,6919.21,1677.28,350.64,-12.72,-271.6,545.88,1.76,1861.02,235.02,-260.85,85.75,-166.44,53.43,-523.09
5332.44,1101.02,-230.32,47.1,-9546.74,UK,2092.72,1505.68,-56.12,Very low,20.71,-13847.34,-76.32,1691.9,-52.38,-9862.14,6,2.86,8788.74,-159.85,18,758.04,16.91,6857.91,2150.44,411.82,9.68,-370.16,541.47,0.44,26.68,236.24,-95.46,131.79,-360.99,44.49,1227.07
4121.58,471.56,-245.68,0.51,-15510.02,UK,2032.42,2218.32,-57.84,Medium,18.69,-15513.18,-48.81,502.78,-147.56,-6340.78,18,4.5,2361.63,-161.1,15,-95.16,7.91,2215.11,1505.2,231.52,-8.46,-372.96,671.76,3.15,803.04,279.96,-126.81,70.88,-148.74,55.65,455.03
2698.38,718.23,-242.28,0.21,-12753.9,Rest,2016.92,2773.38,-37.66,Very low,18.67,-21187.56,-55.41,2731.74,-143.17,-9859.79,12,11.38,-9542.7,-90.87,6,313.65,13.71,1739.26,2651.1,382.78,-11.86,-277.78,705.96,3.5,935.1,238.44,-200.13,75.06,-23.28,58.5,230.96
4179.45,619.43,-234.4,0.63,-14399.76,Rest,1619.62,2900.5,-71,Very high,20.4,-13862.98,-51.93,1762.76,-35.55,-8563.16,6,3.16,11573.85,-140.32,21,-1164.75,17.55,4735.93,1460.58,406.6,15.82,-348.28,634.65,3.66,1635.7,177.7,-228.21,11.55,-258.51,61.14,240.35
3124.95,964.57,-207.38,66.87,-18113.76,UK,1919.37,880.44,-61.08,High,30.38,-21599.7,-59.04,1669.92,-96.71,-4806.07,9,11.58,2560.08,-159.3,21,784.44,15.86,4777.47,1789.18,327.9,-2.72,-400.98,601.23,5.24,88.22,270.54,-261.51,118.02,-272.34,54.72,-15.29
